vid_title,vid_id,category,duration,views,likes,url
10 MIN MORNING WORKOUT (NO EQUIPMENT BODYWEIGHT WORKOUT!),bQKIczEj8m4,Workout,10.38,18155577,481354,https://www.youtube.com/watch?v=bQKIczEj8m4
10 MIN HIGH INTENSITY WORKOUT - burn lots of calories / No Equipment I Pamela Reif,zr08J6wB53Y,Workout,10.77,2730711,51282,https://www.youtube.com/watch?v=zr08J6wB53Y
Victoria&#39;s Secret Model Workout: 10-Minute Fat-Blasting Circuit,PWEdJRRndkQ,Workout,10.52,14492721,106894,https://www.youtube.com/watch?v=PWEdJRRndkQ
10 MIN GOOD MORNING WORKOUT - Stretch &amp; Train // No Equipment | Pamela Reif,diPRDW6CxWM,Workout,10.28,8748534,114311,https://www.youtube.com/watch?v=diPRDW6CxWM
"10-Minute No-Equipment, At-Home Cardio Workout",gUWFmn8f3H4,Workout,11.18,1246485,13422,https://www.youtube.com/watch?v=gUWFmn8f3H4
10 MIN BODYWEIGHT WORKOUT (NO EQUIPMENT HOME WORKOUT!),UoC_O3HzsH0,Workout,10.93,11883087,270381,https://www.youtube.com/watch?v=UoC_O3HzsH0
10 MIN CARDIO / No Jumping - silent &amp; neighbor friendly / No Equipment I Pamela Reif,gFeEUq2624Q,Workout,10.57,5765163,84337,https://www.youtube.com/watch?v=gFeEUq2624Q
10 MIN AB WORKOUT // No Equipment | Pamela Reif,AnYl6Nk9GOA,Workout,10.43,28685100,317034,https://www.youtube.com/watch?v=AnYl6Nk9GOA
10 Minute Cardio Dance Abs Workout: Burn to the Beat- Keaira LaShae,XTH5saFBDqA,Workout,11.3,28174943,227587,https://www.youtube.com/watch?v=XTH5saFBDqA
Killer 10 Minute Fat Burning Bodyweight Workout,_knIf9vF4k4,Workout,10.65,5743250,108985,https://www.youtube.com/watch?v=_knIf9vF4k4
10-Minute Standing Barre Core Workout,KcY7ITTDecs,Workout,12.97,1217444,17240,https://www.youtube.com/watch?v=KcY7ITTDecs
Interval Training - 10 Minute Walk at Home Routine | Fitness Videos,vu3gsiA1KLs,Workout,10.83,2665502,14997,https://www.youtube.com/watch?v=vu3gsiA1KLs
10 MIN CARDIO WORKOUT AT HOME (Equipment Free),sjmsApWcyCU,Workout,13.03,2175331,44877,https://www.youtube.com/watch?v=sjmsApWcyCU
10 MIN BEGINNER AB WORKOUT // No Equipment | Pamela Reif,1f8yoFFdkcY,Workout,10.5,23724135,320865,https://www.youtube.com/watch?v=1f8yoFFdkcY
10 MIN FULL BODY TABATA (BURNING FAT AT HOME) l 10분 전신 타바타 (지방 태우기 홈트),L1kS5I99dlM,Workout,10.4,765486,14274,https://www.youtube.com/watch?v=L1kS5I99dlM
10 Minute CARDIO BLAST | At Home Workouts,ZllXIKITzfg,Workout,10.97,2558786,24121,https://www.youtube.com/watch?v=ZllXIKITzfg
10 MINUTE MORNING WORKOUT 2.0 (NO EQUIPMENT),Tj2EqWRPIl8,Workout,10.57,186680,4113,https://www.youtube.com/watch?v=Tj2EqWRPIl8
10 Minute BRISK WALK | At Home Workouts,tVpUCkMLgms,Workout,9.8,1815423,15989,https://www.youtube.com/watch?v=tVpUCkMLgms
10 Min Morning Routine to Burn Belly Fat | No Jumping,xyR8McQnGuw,Workout,10.87,11155579,240395,https://www.youtube.com/watch?v=xyR8McQnGuw
Do This Workout Every Evening - 10 Minute Full Body To Get In Shape,agvdkRc_img,Workout,10.88,1156902,17634,https://www.youtube.com/watch?v=agvdkRc_img
10 Min Standing Abs Workout to get Ripped ABS,V4sWpLJcQoU,Workout,10.63,16330574,291246,https://www.youtube.com/watch?v=V4sWpLJcQoU
"10-Minute Workout for Teenagers | No Weights, No Jumping! | Joanna Soh",pj4TVbnIEgk,Workout,11.52,444211,11147,https://www.youtube.com/watch?v=pj4TVbnIEgk
10 MINUTE BODYWEIGHT WORKOUT (NO EQUIPMENT),ANZoU4QYiHE,Workout,10.5,348673,6498,https://www.youtube.com/watch?v=ANZoU4QYiHE
10-Minute Cardio Jump Workout to Burn Major Calories | Class FitSugar,eqjZeX3F2nA,Workout,10.75,2871556,32485,https://www.youtube.com/watch?v=eqjZeX3F2nA
10 Minute Home Workout For 6Pack Abs + Fat Burning,ofTiKY3hYdE,Workout,13.88,6764082,211965,https://www.youtube.com/watch?v=ofTiKY3hYdE
10 minute LOW IMPACT fun cardio workout. No equipment.,tYyNM9pmOlA,Workout,9.98,577372,8221,https://www.youtube.com/watch?v=tYyNM9pmOlA
10-Minute Workout to Sculpt Your Body in 2 Weeks,2DNioliqOug,Workout,14.62,8689435,228647,https://www.youtube.com/watch?v=2DNioliqOug
10 minute at HOME HIIT CARDIO workout for FAT LOSS | no equipment | Naomi Ganzu Fitness,xZeL5Jf_GHE,Workout,11.85,4245624,92638,https://www.youtube.com/watch?v=xZeL5Jf_GHE
10 MIN CALORIE KILLER / Medium Level - a HIIT workout that won&#39;t kill you I Pamela Reif,NmCXy7oMsOs,Workout,10.53,2835428,47438,https://www.youtube.com/watch?v=NmCXy7oMsOs
10 MIN BEGINNER FULL BODY WORKOUT at home no equipment | Get MADFIT with me,EMU5ERi3gg0,Workout,12.7,583447,15337,https://www.youtube.com/watch?v=EMU5ERi3gg0
10 MIN FULL BODY WORKOUT (NO EQUIPMENT BODYWEIGHT WORKOUT!),rAU7taj1g6E,Workout,10.48,248091,6490,https://www.youtube.com/watch?v=rAU7taj1g6E
10 Minute Intense Tabata-style Workout | The Body Coach,b9kswCNyDDY,Workout,10.7,363208,2855,https://www.youtube.com/watch?v=b9kswCNyDDY
10 Minute Standing ABS WORKOUT // No Equipment,Qia2ZXEzyLw,Workout,11.38,5404707,84010,https://www.youtube.com/watch?v=Qia2ZXEzyLw
10 Minute Home Ab Workout (6 PACK GUARANTEED!),uUKAYkQZXko,Workout,10.45,18877064,391004,https://www.youtube.com/watch?v=uUKAYkQZXko
10 min FULL BODY FAT BURNING HIIT (No Equipment),48tN82L4nD0,Workout,13.83,633710,13521,https://www.youtube.com/watch?v=48tN82L4nD0
10 MINUTE DAILY AT HOME WORKOUT (NO EQUIPMENT),fv3Jrs_5a2I,Workout,10.98,198113,4411,https://www.youtube.com/watch?v=fv3Jrs_5a2I
10-Minute HOME WORKOUT | No Equipment Full Body Exercise | GunjanShouts,ZnoJ4ZmdPcA,Workout,11.82,1849214,46009,https://www.youtube.com/watch?v=ZnoJ4ZmdPcA
10 Minute Beginner Low Impact Cardio Workout For Fat Loss,9H9qdpUzu4M,Workout,12.58,2659991,23659,https://www.youtube.com/watch?v=9H9qdpUzu4M
10 MIN SIXPACK WORKOUT // No Equipment | Pamela Reif,Q-vuR4PJh2c,Workout,10.38,40981165,481086,https://www.youtube.com/watch?v=Q-vuR4PJh2c
Fat Blast 10 Minute Workout | The Lean Machines | Tonic,c2aSpxlm0Mw,Workout,10.68,1015951,13155,https://www.youtube.com/watch?v=c2aSpxlm0Mw
"10 Minute Fat Burning Cardio Workout - At home, No Jumping (Quiet)",Wg6-xYyB0cg,Workout,11.63,340074,15038,https://www.youtube.com/watch?v=Wg6-xYyB0cg
10 Minute Home Workout For Seniors | The Body Coach TV,A2wp8Ipxn9s,Workout,11.18,2989335,11974,https://www.youtube.com/watch?v=A2wp8Ipxn9s
ENERGY BOOSTING FULLBODY 10 MIN WORKOUT l 에너지 부스터 10분 전신 운동,YiWxqUtEEUI,Workout,10.33,136307,3365,https://www.youtube.com/watch?v=YiWxqUtEEUI
10 Day Challenge - 10 Minute Workout To Lose Fat Fast,PtdOi8Y3oRQ,Workout,10.33,192762,3760,https://www.youtube.com/watch?v=PtdOi8Y3oRQ
10-Minute Tabata Workout to Sweat Away Stress,SCOoZqNcXLM,Workout,11.7,760694,8102,https://www.youtube.com/watch?v=SCOoZqNcXLM
Beginner/Low Impact 10 Minute Workout,g-D7ncAC9rQ,Workout,10.33,122537,1666,https://www.youtube.com/watch?v=g-D7ncAC9rQ
5 Stretches At Your Desk (Without Getting Up),nFIfv-jIgbI,Stretch,5.93,7482,159,https://www.youtube.com/watch?v=nFIfv-jIgbI
Stretch Breaks at Your Desk (2018),vE1idGTZOIY,Stretch,1.98,100132,922,https://www.youtube.com/watch?v=vE1idGTZOIY
Real Time Desk Exercises &amp; Stretches - Ask Doctor Jo,CAq9vV7gkrs,Stretch,11.12,14159,226,https://www.youtube.com/watch?v=CAq9vV7gkrs
Easy At-Work Stretches for Neck Pain and Back Pain,XkT7jxFfPHA,Stretch,3.47,58958,717,https://www.youtube.com/watch?v=XkT7jxFfPHA
Physio Upper Back Stretch &amp; Relieve Desk Break Routine,TMDX7hdQKSY,Stretch,5.87,73355,1163,https://www.youtube.com/watch?v=TMDX7hdQKSY
Stretch at your desk,KBaSGF6kYqw,Stretch,3.07,9292,33,https://www.youtube.com/watch?v=KBaSGF6kYqw
Desk Exercises &amp; Stretches for Computer Users,db00TEhg9_c,Stretch,3.42,15879,526,https://www.youtube.com/watch?v=db00TEhg9_c
Quick and Easy Stretches To Do While Sitting at Your Desk,BdfTuxdfIE8,Stretch,5.32,56620,1320,https://www.youtube.com/watch?v=BdfTuxdfIE8
DAILY DESK STRETCHES - Stretches to do at your desk to prevent pain | Dr. LA Thoma Gustin,vBQkySm333k,Stretch,10.08,25894,1047,https://www.youtube.com/watch?v=vBQkySm333k
6 Best Stretches &amp; Exercises To FIX Desk Posture  | Get Rid Of Neck &amp; Back Pain,_poD7UcGqOk,Stretch,8.38,49422,1676,https://www.youtube.com/watch?v=_poD7UcGqOk
Deskercise -  Lower Back and Torso Stretches,5M-b1c2spPE,Stretch,2.17,68524,566,https://www.youtube.com/watch?v=5M-b1c2spPE
"10 Stretches Every Office Worker Should Do Daily For Neck, Shoulder, Arm, Wrist, &amp; Back Pain.",w1INfs260DY,Stretch,10.75,19882,549,https://www.youtube.com/watch?v=w1INfs260DY
Deskercise - Neck and Shoulder Stretches,5lbe9oZbpDs,Stretch,1.88,56638,247,https://www.youtube.com/watch?v=5lbe9oZbpDs
Yoga at Your Desk,tAUf7aajBWE,Stretch,6.4,1349386,15579,https://www.youtube.com/watch?v=tAUf7aajBWE
Desk stretches to reduce pain and discomfort,h40hScXJo20,Stretch,1.68,1322,1,https://www.youtube.com/watch?v=h40hScXJo20
"Desk Exercises at Work - 10 Minute Desk Stretches For Energy, Posture and Flexibility!",vRQdJQ3Xhzk,Stretch,8.23,15043,190,https://www.youtube.com/watch?v=vRQdJQ3Xhzk
Relieve Neck Pain &amp; Tension at Your Desk - Daily Physio Routine,FRNtLrMf-1A,Stretch,6.8,293045,3499,https://www.youtube.com/watch?v=FRNtLrMf-1A
Stretches you can do at your desk,YdAWmcbyuPU,Stretch,1.83,6885,24,https://www.youtube.com/watch?v=YdAWmcbyuPU
