vid_title,vid_id,category,views,duration,url
10 Min Standing Abs Workout to get Ripped ABS,V4sWpLJcQoU,Workout,16293567,10.63,https://www.youtube.com/watch?v=V4sWpLJcQoU
10 Min Morning Routine to Burn Belly Fat | No Jumping,xyR8McQnGuw,Workout,11131132,10.87,https://www.youtube.com/watch?v=xyR8McQnGuw
10 MIN CARDIO WORKOUT AT HOME (Equipment Free),sjmsApWcyCU,Workout,2170247,13.03,https://www.youtube.com/watch?v=sjmsApWcyCU
10 Minute BRISK WALK | At Home Workouts,tVpUCkMLgms,Workout,1810013,9.8,https://www.youtube.com/watch?v=tVpUCkMLgms
10 Minute Home Workout For 6Pack Abs + Fat Burning,ofTiKY3hYdE,Workout,6751989,13.88,https://www.youtube.com/watch?v=ofTiKY3hYdE
10 Day Challenge - 10 Minute Workout To Lose Fat Fast,PtdOi8Y3oRQ,Workout,191888,10.33,https://www.youtube.com/watch?v=PtdOi8Y3oRQ
10 MINUTE BODYWEIGHT WORKOUT (NO EQUIPMENT),ANZoU4QYiHE,Workout,347829,10.5,https://www.youtube.com/watch?v=ANZoU4QYiHE
Interval Training - 10 Minute Walk at Home Routine | Fitness Videos,vu3gsiA1KLs,Workout,2662229,10.83,https://www.youtube.com/watch?v=vu3gsiA1KLs
10-Minute Cardio Jump Workout to Burn Major Calories | Class FitSugar,eqjZeX3F2nA,Workout,2869184,10.75,https://www.youtube.com/watch?v=eqjZeX3F2nA
"10-Minute Workout for Teenagers | No Weights, No Jumping! | Joanna Soh",pj4TVbnIEgk,Workout,443278,11.52,https://www.youtube.com/watch?v=pj4TVbnIEgk
10 minute at HOME HIIT CARDIO workout for FAT LOSS | no equipment | Naomi Ganzu Fitness,xZeL5Jf_GHE,Workout,4235376,11.85,https://www.youtube.com/watch?v=xZeL5Jf_GHE
10 MIN CALORIE KILLER / Medium Level - a HIIT workout that won&#39;t kill you I Pamela Reif,NmCXy7oMsOs,Workout,2812491,10.53,https://www.youtube.com/watch?v=NmCXy7oMsOs
10 MIN BEGINNER FULL BODY WORKOUT at home no equipment | Get MADFIT with me,EMU5ERi3gg0,Workout,582645,12.7,https://www.youtube.com/watch?v=EMU5ERi3gg0
10-Minute Workout to Sculpt Your Body in 2 Weeks,2DNioliqOug,Workout,8686999,14.62,https://www.youtube.com/watch?v=2DNioliqOug
10 minute LOW IMPACT fun cardio workout. No equipment.,tYyNM9pmOlA,Workout,574489,9.98,https://www.youtube.com/watch?v=tYyNM9pmOlA
10-Minute HOME WORKOUT | No Equipment Full Body Exercise | GunjanShouts,ZnoJ4ZmdPcA,Workout,1846082,11.82,https://www.youtube.com/watch?v=ZnoJ4ZmdPcA
